recording_id,condition_id,repetition,state_from_name,workpiece,length_mm,doc_mm,woc_mm,spindle_rpm,feed_mm_min,global_index,label,path,sha256,n_windows,archive_feature_dimension,missing_values
S_WPA_L36_DOC0.5_WOC1.0_N2700_F270_R1,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270,1,S,A,36.0,0.5,1.0,2700,270,0,0,data/processed_feature_matrices/S_WPA_L36_DOC0.5_WOC1.0_N2700_F270_R1.mat,a441271e4778e4f137ed7a135ce47cd7f0476f3d5973d9747abf7df49de2dcac,350,40,0
S_WPA_L36_DOC0.5_WOC1.0_N2700_F270_R2,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270,2,S,A,36.0,0.5,1.0,2700,270,1,0,data/processed_feature_matrices/S_WPA_L36_DOC0.5_WOC1.0_N2700_F270_R2.mat,962f5e33e3d1606e2eee828506b2dfc444ba68f337e94fa8469accede624d06f,350,40,0
S_WPA_L36_DOC0.5_WOC1.0_N2700_F270_R3,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270,3,S,A,36.0,0.5,1.0,2700,270,2,0,data/processed_feature_matrices/S_WPA_L36_DOC0.5_WOC1.0_N2700_F270_R3.mat,5a2fe03a6540049e686e56352571359f26d3f6a248a588375d9486bdeddd70a7,350,40,0
S_WPA_L36_DOC0.5_WOC1.0_N2700_F270_R4,S_WPA_L36_DOC0.5_WOC1.0_N2700_F270,4,S,A,36.0,0.5,1.0,2700,270,3,0,data/processed_feature_matrices/S_WPA_L36_DOC0.5_WOC1.0_N2700_F270_R4.mat,04edd82feca9ba6918047abfd09a9df7f092f70555eaf1d66f6c970b43b91e5b,350,40,0
S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R1,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360,1,S,A,36.0,0.5,1.0,3600,360,4,0,data/processed_feature_matrices/S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R1.mat,f7a9ead78f41e7dbc5b2328734c31ad38b04c0f3e9e84d966d0bcab71e084258,350,40,0
S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R2,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360,2,S,A,36.0,0.5,1.0,3600,360,5,0,data/processed_feature_matrices/S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R2.mat,75944e777e23a5383473520eedcfd4d1fc232337451d5ee34ceac15fcbb04980,350,40,0
S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R3,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360,3,S,A,36.0,0.5,1.0,3600,360,6,0,data/processed_feature_matrices/S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R3.mat,48bab94a7d740ddaa854f665266a022ca4204cefd561d08974a6a6f532d9f7c3,350,40,0
S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R4,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360,4,S,A,36.0,0.5,1.0,3600,360,7,0,data/processed_feature_matrices/S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R4.mat,42dd375c94598c809d4c7d2c57c09af308ae980645902a68a1f0074dfbae7f3c,350,40,0
S_WPA_L36_DOC0.5_WOC2.0_N2700_F270_R1,S_WPA_L36_DOC0.5_WOC2.0_N2700_F270,1,S,A,36.0,0.5,2.0,2700,270,8,0,data/processed_feature_matrices/S_WPA_L36_DOC0.5_WOC2.0_N2700_F270_R1.mat,be414e3151c1913545e584dad0fa05b1a521ba8d77ba8810e694a1858d6eb65c,350,40,0
S_WPA_L36_DOC0.5_WOC2.0_N2700_F270_R2,S_WPA_L36_DOC0.5_WOC2.0_N2700_F270,2,S,A,36.0,0.5,2.0,2700,270,9,0,data/processed_feature_matrices/S_WPA_L36_DOC0.5_WOC2.0_N2700_F270_R2.mat,2c8eb2f4ee8544c9077fa3f7c6981bec4acbd2f2ab205833e8be8e00ce34e8fa,350,40,0
S_WPA_L36_DOC0.5_WOC2.0_N2700_F270_R3,S_WPA_L36_DOC0.5_WOC2.0_N2700_F270,3,S,A,36.0,0.5,2.0,2700,270,10,0,data/processed_feature_matrices/S_WPA_L36_DOC0.5_WOC2.0_N2700_F270_R3.mat,4f1fadc93ded37c42518b298cb1c4e1e8e2a0756c973bdbff0a289331d1ecb7b,350,40,0
S_WPA_L36_DOC0.5_WOC2.0_N2700_F270_R4,S_WPA_L36_DOC0.5_WOC2.0_N2700_F270,4,S,A,36.0,0.5,2.0,2700,270,11,0,data/processed_feature_matrices/S_WPA_L36_DOC0.5_WOC2.0_N2700_F270_R4.mat,79c000e97ef0854a8095c485c4eb4236aeacdee063c376d43bd480d208432af7,350,40,0
S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R1,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180,1,S,A,36.0,1.0,1.0,1800,180,12,0,data/processed_feature_matrices/S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R1.mat,ca266bd179502515315f2390b0cf3347134e79d31f8727913dc6ed87ff5567a3,350,40,0
S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180,2,S,A,36.0,1.0,1.0,1800,180,13,0,data/processed_feature_matrices/S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R2.mat,f4a35a859be4ed11e45197c63e62ce3382348ffd90293d18333395d60fcd34c5,350,40,0
S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R3,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180,3,S,A,36.0,1.0,1.0,1800,180,14,0,data/processed_feature_matrices/S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R3.mat,97b55d199f53451d5cd474df00b1889d43a66dff14a94b821e925a7f628c88de,350,40,0
S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R4,S_WPA_L36_DOC1.0_WOC1.0_N1800_F180,4,S,A,36.0,1.0,1.0,1800,180,15,0,data/processed_feature_matrices/S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R4.mat,5620fa54a22a233cab1feff6587539900cba2441123e071bf1fdd53a09d9ca18,350,40,0
S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R1,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270,1,S,A,36.0,1.0,1.0,2700,270,16,0,data/processed_feature_matrices/S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R1.mat,f81c3508b1fd9085026f5179250c4961dfc97d93a72fa7fa3b39abc16526af9c,350,40,0
S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R2,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270,2,S,A,36.0,1.0,1.0,2700,270,17,0,data/processed_feature_matrices/S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R2.mat,2cd64c84ef2b35cdd6b4b3b3d5360e5c199e5c0c70ec447fa106f45073067a08,350,40,0
S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R3,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270,3,S,A,36.0,1.0,1.0,2700,270,18,0,data/processed_feature_matrices/S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R3.mat,d98069373ec22be766eb15d3323b4c055947c3edc3dcc1ae00c5c7e31ba4ed8e,350,40,0
S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R4,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270,4,S,A,36.0,1.0,1.0,2700,270,19,0,data/processed_feature_matrices/S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R4.mat,81b3201959800001bc84ad1cb718151f80faa5fd9b8b961843de6fdb1cc0d033,350,40,0
S_WPA_L36_DOC1.0_WOC1.0_N3600_F360_R1,S_WPA_L36_DOC1.0_WOC1.0_N3600_F360,1,S,A,36.0,1.0,1.0,3600,360,20,0,data/processed_feature_matrices/S_WPA_L36_DOC1.0_WOC1.0_N3600_F360_R1.mat,54d3f24ad241267422e39eb8dfd5506d4edab8017cdb979bb796c81a6e8c760c,350,40,0
S_WPA_L36_DOC1.0_WOC1.0_N3600_F360_R2,S_WPA_L36_DOC1.0_WOC1.0_N3600_F360,2,S,A,36.0,1.0,1.0,3600,360,21,0,data/processed_feature_matrices/S_WPA_L36_DOC1.0_WOC1.0_N3600_F360_R2.mat,3fe173b9a44d8d763a750beff15dcfecd4b7cd01ba47d9125596897a5be63b7e,337,40,0
S_WPA_L36_DOC1.0_WOC1.0_N3600_F360_R3,S_WPA_L36_DOC1.0_WOC1.0_N3600_F360,3,S,A,36.0,1.0,1.0,3600,360,22,0,data/processed_feature_matrices/S_WPA_L36_DOC1.0_WOC1.0_N3600_F360_R3.mat,8c870546c1ce80ad5f500f4c1e0f4744dc782b6b9f33445943d8cdfb069cdc81,343,40,0
S_WPA_L36_DOC1.0_WOC1.0_N3600_F360_R4,S_WPA_L36_DOC1.0_WOC1.0_N3600_F360,4,S,A,36.0,1.0,1.0,3600,360,23,0,data/processed_feature_matrices/S_WPA_L36_DOC1.0_WOC1.0_N3600_F360_R4.mat,90b50786d8566932197c07496fb94cc7c898af80d6dd6952b2dab9ed32133f78,350,40,0
S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R1,S_WPA_L36_DOC1.0_WOC2.0_N2700_F270,1,S,A,36.0,1.0,2.0,2700,270,24,0,data/processed_feature_matrices/S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R1.mat,5779d3f37e1cccc1692e7777e1dde50afd4a7d8eb598d0ee04d6ae71f90b7684,350,40,0
S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R2,S_WPA_L36_DOC1.0_WOC2.0_N2700_F270,2,S,A,36.0,1.0,2.0,2700,270,25,0,data/processed_feature_matrices/S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R2.mat,e547f0dc92843a8b7f58d5fe8300bb0247d03aa791a71a7dc4d67ac06463ae05,350,40,0
S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R3,S_WPA_L36_DOC1.0_WOC2.0_N2700_F270,3,S,A,36.0,1.0,2.0,2700,270,26,0,data/processed_feature_matrices/S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R3.mat,ac87618a66dcec538cc8b4508ccc650664270fd292c1af1a89492de1b54e2472,350,40,0
