budget,method,folds,mean_balanced_accuracy,std_balanced_accuracy,min_balanced_accuracy,mean_sensitivity,mean_specificity,mean_selected_stable,mean_selected_chatter
0.1,FacilityLocation-R,20,0.7752976190476191,0.15616755492878748,0.5,0.5541666666666667,0.9964285714285716,7.8,4.2
0.1,MRDS-IS-R,20,0.8834077380952381,0.1205625675941838,0.5625,0.8114583333333334,0.9553571428571429,7.3,4.7
0.1,W2-KMedoids-R,20,0.8357142857142857,0.14785517914863214,0.5,0.6875,0.9839285714285714,7.7,4.3
0.2,FacilityLocation-R,20,0.9389880952380952,0.06791736818679166,0.7678571428571428,0.8979166666666666,0.9800595238095238,14.9,9.1
0.2,MRDS-IS-R,20,0.9350446428571428,0.0612555023790681,0.7976190476190477,0.9010416666666666,0.9690476190476189,14.75,9.25
0.2,W2-KMedoids-R,20,0.9491815476190476,0.05094937932902627,0.875,0.909375,0.9889880952380953,15.25,8.75
0.3,FacilityLocation-R,20,0.9416666666666667,0.05731653066882407,0.8095238095238095,0.9125,0.9708333333333334,22.95,13.05
0.3,MRDS-IS-R,20,0.9339285714285713,0.053150760639955094,0.8392857142857143,0.9041666666666666,0.9636904761904763,22.45,13.55
0.3,W2-KMedoids-R,20,0.9377232142857143,0.05678676471065471,0.84375,0.9010416666666666,0.9744047619047619,22.75,13.25
0.4,FacilityLocation-R,20,0.9427827380952382,0.05358116339774282,0.84375,0.909375,0.9761904761904763,29.5,18.5
0.4,MRDS-IS-R,20,0.9416666666666667,0.046516147883971196,0.8571428571428572,0.9125,0.9708333333333334,29.75,18.25
0.4,W2-KMedoids-R,20,0.9454613095238095,0.052384056195778655,0.84375,0.909375,0.981547619047619,29.75,18.25
0.5,FacilityLocation-R,20,0.9361607142857142,0.055563969742631676,0.84375,0.8979166666666666,0.9744047619047619,35.25,24.75
0.5,MRDS-IS-R,20,0.9459077380952381,0.0484519378701422,0.875,0.915625,0.9761904761904763,36.25,23.75
0.5,W2-KMedoids-R,20,0.9392857142857143,0.04805418745513016,0.875,0.9041666666666666,0.9744047619047619,36.1,23.9
