budget,competitor,mean_delta_balanced_accuracy,wins,ties,losses,wilcoxon_p_raw,wilcoxon_p_holm_10_tests,significant_at_0.05
0.1,FacilityLocation-R,0.10811011904761905,12,2,6,0.026292875697246164,0.26292875697246165,False
0.1,W2-KMedoids-R,0.04769345238095238,7,3,10,0.5223145402513589,1.0,False
0.2,FacilityLocation-R,-0.003943452380952378,5,9,6,0.7550712552318343,1.0,False
0.2,W2-KMedoids-R,-0.014136904761904767,5,8,7,0.2533223899687097,1.0,False
0.3,FacilityLocation-R,-0.0077380952380952436,2,12,6,0.2930292591867747,1.0,False
0.3,W2-KMedoids-R,-0.003794642857142855,3,11,6,0.7220491421508173,1.0,False
0.4,FacilityLocation-R,-0.0011160714285714246,3,13,4,0.8652950043288333,1.0,False
0.4,W2-KMedoids-R,-0.003794642857142855,2,14,4,0.6741416549927048,1.0,False
0.5,FacilityLocation-R,0.00974702380952382,5,15,0,0.04216819709715596,0.37951377387440366,False
0.5,W2-KMedoids-R,0.006622023809523819,4,16,0,0.06559969214707187,0.524797537176575,False
