split,repeat,fold,seed,n_train,n_test,budget,n_selected,method,rank,recording_id,condition_id,label
0,0,0,11,120,40,0.1,12,MRDS-IS-R,1,S_WPA_L36_DOC0.5_WOC2.0_N2700_F270_R1,S_WPA_L36_DOC0.5_WOC2.0_N2700_F270,0
0,0,0,11,120,40,0.1,12,MRDS-IS-R,2,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180,0
0,0,0,11,120,40,0.1,12,MRDS-IS-R,3,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R4,S_WPA_L36_DOC3.0_WOC1.0_N1800_F180,0
0,0,0,11,120,40,0.1,12,MRDS-IS-R,4,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R2,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270,0
0,0,0,11,120,40,0.1,12,MRDS-IS-R,5,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R1,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270,0
0,0,0,11,120,40,0.1,12,MRDS-IS-R,6,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R1,S_WPB_L56_DOC1.5_WOC1.0_N3600_F360,0
0,0,0,11,120,40,0.1,12,MRDS-IS-R,7,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360_R2,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360,1
0,0,0,11,120,40,0.1,12,MRDS-IS-R,8,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R1,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,1
0,0,0,11,120,40,0.1,12,MRDS-IS-R,9,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R2,U_WPA_L36_DOC3.0_WOC1.0_N3600_F360,1
0,0,0,11,120,40,0.1,12,MRDS-IS-R,10,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270_R3,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270,1
0,0,0,11,120,40,0.1,12,MRDS-IS-R,11,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270_R4,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270,1
0,0,0,11,120,40,0.1,12,MRDS-IS-R,12,U_WPB_L56_DOC4.0_WOC2.0_N2700_F270_R1,U_WPB_L56_DOC4.0_WOC2.0_N2700_F270,1
0,0,0,11,120,40,0.1,12,FacilityLocation-R,1,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R4,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360,0
0,0,0,11,120,40,0.1,12,FacilityLocation-R,2,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R1,S_WPA_L36_DOC1.0_WOC1.0_N2700_F270,0
0,0,0,11,120,40,0.1,12,FacilityLocation-R,3,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R1,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270,0
0,0,0,11,120,40,0.1,12,FacilityLocation-R,4,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180,0
