split,repeat,fold,seed,feature_set,n_train,n_test,n_train_conditions,n_test_conditions,budget,method,stage,n_selected,weight_mode,balanced_accuracy,macro_f1,auroc,sensitivity,specificity,n_unique_selected_conditions,n_duplicate_condition_slots,max_selected_per_condition
0,0,0,11,all40,120,40,30,10,1.0,Full training set,no reduction,120,uniform,1.0,1.0,1.0,1.0,1.0,,,
0,0,0,11,all40,120,40,30,10,0.1,Random,initializer,12,uniform,0.9583333333333333,0.969488939740656,1.0,0.9166666666666666,1.0,11.0,1.0,2.0
0,0,0,11,all40,120,40,30,10,0.1,Random,initializer,12,voronoi,1.0,1.0,1.0,1.0,1.0,11.0,1.0,2.0
0,0,0,11,all40,120,40,30,10,0.1,Random,initializer,12,renyi,0.5535714285714286,0.34167215273206053,0.5535714285714286,1.0,0.10714285714285714,11.0,1.0,2.0
0,0,0,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,uniform,0.9583333333333333,0.969488939740656,1.0,0.9166666666666666,1.0,11.0,1.0,2.0
0,0,0,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,voronoi,1.0,1.0,1.0,1.0,1.0,11.0,1.0,2.0
0,0,0,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,renyi,0.5,0.4117647058823529,0.5,0.0,1.0,11.0,1.0,2.0
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,uniform,0.7916666666666667,0.8274374460742019,0.7916666666666667,0.5833333333333334,1.0,10.0,2.0,3.0
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,voronoi,0.7916666666666667,0.8274374460742019,0.7916666666666667,0.5833333333333334,1.0,10.0,2.0,3.0
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,renyi,0.7916666666666667,0.8274374460742019,0.7916666666666667,0.5833333333333334,1.0,10.0,2.0,3.0
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,uniform,0.7916666666666667,0.8274374460742019,0.7916666666666667,0.5833333333333334,1.0,9.0,3.0,3.0
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,voronoi,0.7916666666666667,0.8274374460742019,0.7916666666666667,0.5833333333333334,1.0,9.0,3.0,3.0
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,renyi,0.7916666666666667,0.8274374460742019,0.7916666666666667,0.5833333333333334,1.0,9.0,3.0,3.0
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,uniform,0.7916666666666667,0.8274374460742019,0.7916666666666667,0.5833333333333334,1.0,10.0,2.0,3.0
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,voronoi,0.7916666666666667,0.8274374460742019,0.7916666666666667,0.5833333333333334,1.0,10.0,2.0,3.0
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,renyi,0.7916666666666667,0.8274374460742019,0.7916666666666667,0.5833333333333334,1.0,10.0,2.0,3.0
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,uniform,0.7916666666666667,0.8274374460742019,0.7916666666666667,0.5833333333333334,1.0,9.0,3.0,3.0
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,voronoi,0.7916666666666667,0.8274374460742019,0.7916666666666667,0.5833333333333334,1.0,9.0,3.0,3.0
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,renyi,0.7916666666666667,0.8274374460742019,0.7916666666666667,0.5833333333333334,1.0,9.0,3.0,3.0
0,0,0,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,uniform,1.0,1.0,1.0,1.0,1.0,11.0,1.0,2.0
0,0,0,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,voronoi,1.0,1.0,1.0,1.0,1.0,11.0,1.0,2.0
0,0,0,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,renyi,1.0,1.0,1.0,1.0,1.0,11.0,1.0,2.0
