split,repeat,fold,seed,feature_set,n_train,n_test,n_train_conditions,n_test_conditions,budget,method,stage,n_selected,n_unique_selected_conditions,n_duplicate_condition_slots,max_selected_per_condition,reduction_fraction,alpha,max_atoms,bandwidth,distance_backend,distance_seconds,m,coverage_mean,coverage_max,renyi_meta,renyi_meta_uniform,renyi_meta_weighted,mmd2,subset_1nn_accuracy,subset_1nn_balanced_accuracy,subset_1nn_macro_f1,class_proportion_l1
0,0,0,11,all40,120,40,30,10,0.1,Random,initializer,12,11,1,2,0.9,2.0,8,11.852638309033285,emd_exact,0.3426443000207655,12,17.533088041108247,1275.230063188151,14.467756973827143,14.467756973827143,10.579004407732528,1.5325021415329014,0.95,0.9375,0.9430199430199431,0.0
0,0,0,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,11,1,2,0.9,2.0,8,11.852638309033285,emd_exact,0.3426443000207655,12,15.950679663860596,1218.3823073615988,13.655826855816326,13.655826855816326,9.885999430333326,1.5324634553792382,0.95,0.9375,0.9430199430199431,0.0
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,10,2,3,0.9,2.0,8,11.852638309033285,emd_exact,0.3426443000207655,12,4.888856119398012,16.934473023247985,0.01312803841567162,0.01312803841567162,0.00673258102690809,0.0758071972139851,0.9416666666666667,0.925,0.9330730619074177,0.0
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,9,3,3,0.9,2.0,8,11.852638309033285,emd_exact,0.3426443000207655,12,5.081922196273175,32.88202026776746,0.009538280077789655,0.009538280077789655,0.0036862295070282393,0.0360142042940651,0.9416666666666667,0.925,0.9330730619074177,0.0
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,10,2,3,0.9,2.0,8,11.852638309033285,emd_exact,0.3426443000207655,12,4.796921684580521,16.934473023247985,0.011664131781808439,0.011664131781808439,0.00709713204805078,0.0842488474793347,0.95,0.9437500000000001,0.9437500000000001,0.0
0,0,0,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,9,3,3,0.9,2.0,8,11.852638309033285,emd_exact,0.3426443000207655,12,4.990301900502416,32.88202026776746,0.008264164490284682,0.008264164490284682,0.0038924565184708833,0.04214559190900957,0.95,0.9437500000000001,0.9437500000000001,0.0
0,0,0,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,11,1,2,0.9,2.0,8,11.852638309033285,emd_exact,0.3426443000207655,12,6.309836794871353,13.234853297538569,0.032860554525209924,0.032860554525209924,0.011141953736545349,0.13249137698952318,0.7916666666666666,0.6875,0.7051597051597052,0.16666666666666663
0,0,0,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,10,2,2,0.9,2.0,8,11.852638309033285,emd_exact,0.3426443000207655,12,6.0155337032466845,13.178073548516618,0.04112015279067912,0.04112015279067912,0.005344258476628408,0.06520204211512393,0.975,0.96875,0.9716958880415127,0.3333333333333333
0,0,0,11,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=FacilityLocation,12,9,3,3,0.9,2.0,8,11.852638309033285,emd_exact,0.3426443000207655,12,5.081922196273175,32.88202026776746,0.009538280077789655,0.009538280077789655,0.0036862295070282393,0.0360142042940651,0.9416666666666667,0.925,0.9330730619074177,0.0
1,0,1,11,all40,120,40,30,10,0.1,Random,initializer,12,11,1,2,0.9,2.0,8,11.516205615360086,emd_exact,0.3464273000136018,12,16.54481775449872,1095.2301619682157,14.850426288704103,14.850426288704103,10.866327937760776,1.4802515482844958,0.9333333333333333,0.91875,0.9240265906932574,0.0
1,0,1,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,11,1,2,0.9,2.0,8,11.516205615360086,emd_exact,0.3464273000136018,12,15.308993460904249,1079.4102568191465,13.717586861833803,13.717586861833803,9.734783196386136,1.4802330763612068,0.9416666666666667,0.925,0.9330730619074177,0.0
1,0,1,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,8,4,3,0.9,2.0,8,11.516205615360086,emd_exact,0.3464273000136018,12,4.948888443655163,25.323871391895818,0.023009149729152245,0.023009149729152245,0.009322026386903347,0.10156934982344679,0.95,0.925,0.9413871703028329,0.0
1,0,1,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,8,4,3,0.9,2.0,8,11.516205615360086,emd_exact,0.3464273000136018,12,5.14957673749988,36.437068314385975,0.01534781423119978,0.01534781423119978,0.004918209333236812,0.040437440397475766,0.95,0.925,0.9413871703028329,0.0
1,0,1,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,8,4,3,0.9,2.0,8,11.516205615360086,emd_exact,0.3464273000136018,12,4.923804044600043,25.323871391895818,0.022474501601407335,0.022474501601407335,0.009411606897956466,0.10285122823142856,0.9666666666666667,0.95,0.9614890885750962,0.0
1,0,1,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,8,4,3,0.9,2.0,8,11.516205615360086,emd_exact,0.3464273000136018,12,5.120177109621599,36.409522898222455,0.01647268560419469,0.01647268560419469,0.004987637555055737,0.0417317799014415,0.9583333333333334,0.96875,0.9544592030360531,0.16666666666666663
1,0,1,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,10,2,2,0.9,2.0,8,11.516205615360086,emd_exact,0.3464273000136018,12,6.628843151839929,12.629622318050265,0.06082985067324829,0.06082985067324829,0.012612909297616411,0.1289691553528236,0.7,0.775,0.699666295884316,0.16666666666666663
1,0,1,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,11,1,2,0.9,2.0,8,11.516205615360086,emd_exact,0.3464273000136018,12,5.992672091093345,25.323871391895818,0.03324699910969635,0.03324699910969635,0.005753403521398249,0.060001254892342426,0.825,0.86875,0.8205000356150723,0.16666666666666663
1,0,1,11,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=FacilityLocation,12,8,4,3,0.9,2.0,8,11.516205615360086,emd_exact,0.3464273000136018,12,5.14957673749988,36.437068314385975,0.01534781423119978,0.01534781423119978,0.004918209333236812,0.040437440397475766,0.95,0.925,0.9413871703028329,0.0
2,0,2,11,all40,120,40,30,10,0.1,Random,initializer,12,11,1,2,0.9,2.0,8,12.107596522210757,emd_exact,0.35819030000129715,12,16.822935868371953,1210.6213212229572,14.419374969789118,14.419374969789118,10.41195397503247,1.549379282056588,0.9666666666666667,0.9523809523809523,0.9596638655462184,0.10000000000000003
2,0,2,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,10,2,2,0.9,2.0,8,12.107596522210757,emd_exact,0.35819030000129715,12,16.42901764218129,1173.471879045275,13.726092113971148,13.726092113971148,9.629510169193365,1.5509099626190839,0.9666666666666667,0.9523809523809523,0.9596638655462184,0.10000000000000003
2,0,2,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,10,2,2,0.9,2.0,8,12.107596522210757,emd_exact,0.35819030000129715,12,5.316979286577426,26.163824592140895,0.013074502146451871,0.013074502146451871,0.007143191134987628,0.0871047891826573,0.95,0.9404761904761905,0.9404761904761905,0.10000000000000003
2,0,2,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,10,2,2,0.9,2.0,8,12.107596522210757,emd_exact,0.35819030000129715,12,5.4111121162237446,26.163824592140895,0.01127269495737812,0.01127269495737812,0.003551341817252881,0.03836469392600139,0.95,0.9404761904761905,0.9404761904761905,0.10000000000000003
2,0,2,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,10,2,2,0.9,2.0,8,12.107596522210757,emd_exact,0.35819030000129715,12,5.142242269351905,26.163824592140895,0.008787948616655708,0.008787948616655708,0.006047386161195794,0.0681229811253129,0.9666666666666667,0.9523809523809523,0.9596638655462184,0.2666666666666667
2,0,2,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,9,3,2,0.9,2.0,8,12.107596522210757,emd_exact,0.35819030000129715,12,5.38289033045237,39.20952895067166,0.005593006518935059,0.005593006518935059,0.003299409129519431,0.03060523626046796,0.9916666666666667,0.9940476190476191,0.990156672955459,0.10000000000000003
2,0,2,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,10,2,3,0.9,2.0,8,12.107596522210757,emd_exact,0.35819030000129715,12,7.336779826053492,12.121473850095185,0.02390991938381159,0.02390991938381159,0.009777807520484669,0.13492385040470156,0.8666666666666667,0.873015873015873,0.8500000000000001,0.10000000000000003
2,0,2,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,10,2,3,0.9,2.0,8,12.107596522210757,emd_exact,0.35819030000129715,12,6.442950547496577,26.163824592140895,0.014039814361337645,0.014039814361337645,0.004289272966039493,0.06748114760861978,0.9416666666666667,0.9027777777777778,0.9261538461538461,0.10000000000000003
2,0,2,11,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=W2-KMedoids,12,9,3,2,0.9,2.0,8,12.107596522210757,emd_exact,0.35819030000129715,12,5.38289033045237,39.20952895067166,0.005593006518935059,0.005593006518935059,0.003299409129519431,0.03060523626046796,0.9916666666666667,0.9940476190476191,0.990156672955459,0.10000000000000003
3,0,3,11,all40,120,40,30,10,0.1,Random,initializer,12,11,1,2,0.9,2.0,8,11.703790405264922,emd_exact,0.37334769999142736,12,6.837454721703397,88.20327344065709,13.964908445635487,13.964908445635487,9.932652890451434,1.5374918346668243,0.9416666666666667,0.95,0.9362428842504744,0.0
3,0,3,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,12,0,1,0.9,2.0,8,11.703790405264922,emd_exact,0.37334769999142736,12,5.999437990130259,34.82396109883794,0.007475249662398461,0.007475249662398461,0.011331372208347745,0.07057629427938306,0.9416666666666667,0.9375,0.9347775448404378,0.16666666666666669
3,0,3,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,9,3,3,0.9,2.0,8,11.703790405264922,emd_exact,0.37334769999142736,12,4.696070597689512,24.499871498963813,0.008845741878341452,0.008845741878341452,0.004942420020112843,0.05244625210857712,0.9833333333333333,0.9875,0.9814757641247298,0.16666666666666663
