split,repeat,fold,seed,feature_set,n_train,n_test,n_train_conditions,n_test_conditions,budget,method,stage,n_selected,n_unique_selected_conditions,n_duplicate_condition_slots,max_selected_per_condition,rank,train_local_index,global_index,recording_id,condition_id,repetition,label,voronoi_weight,renyi_weight
0,0,0,11,all40,120,40,30,10,0.1,Random,initializer,12,11,1,2,1,3,7,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R4,S_WPA_L36_DOC0.5_WOC1.0_N3600_F360,4,0,0.175,1.2144931859653051e-82
0,0,0,11,all40,120,40,30,10,0.1,Random,initializer,12,11,1,2,2,14,22,S_WPA_L36_DOC1.0_WOC1.0_N3600_F360_R3,S_WPA_L36_DOC1.0_WOC1.0_N3600_F360,3,0,0.11666666666666667,2.803434322468823e-84
0,0,0,11,all40,120,40,30,10,0.1,Random,initializer,12,11,1,2,3,17,25,S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R2,S_WPA_L36_DOC1.0_WOC2.0_N2700_F270,2,0,0.09166666666666666,5.895124773898311e-85
0,0,0,11,all40,120,40,30,10,0.1,Random,initializer,12,11,1,2,4,47,59,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R4,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270,4,0,0.075,5.0749212185210805e-61
0,0,0,11,all40,120,40,30,10,0.1,Random,initializer,12,11,1,2,5,55,67,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R4,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270,4,0,0.03333333333333333,6.843089077806869e-18
0,0,0,11,all40,120,40,30,10,0.1,Random,initializer,12,11,1,2,6,56,72,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270_R1,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270,1,0,0.1,8.441483154219862e-70
0,0,0,11,all40,120,40,30,10,0.1,Random,initializer,12,11,1,2,7,66,82,S_WPB_L56_DOC1.0_WOC1.0_N2700_F270_R3,S_WPB_L56_DOC1.0_WOC1.0_N2700_F270,3,0,0.058333333333333334,1.1340984156950285e-70
0,0,0,11,all40,120,40,30,10,0.1,Random,initializer,12,11,1,2,8,68,96,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R1,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270,1,0,0.03333333333333333,1.0
0,0,0,11,all40,120,40,30,10,0.1,Random,initializer,12,11,1,2,9,81,109,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360_R2,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360,2,1,0.075,3.4913164018015855e-24
0,0,0,11,all40,120,40,30,10,0.1,Random,initializer,12,11,1,2,10,88,124,U_WPB_L56_DOC2.0_WOC1.0_N1800_F180_R1,U_WPB_L56_DOC2.0_WOC1.0_N1800_F180,1,1,0.09166666666666666,4.027424356745128e-75
0,0,0,11,all40,120,40,30,10,0.1,Random,initializer,12,11,1,2,11,109,149,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270_R2,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270,2,1,0.125,4.375478834945481e-78
0,0,0,11,all40,120,40,30,10,0.1,Random,initializer,12,11,1,2,12,111,151,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270_R4,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270,4,1,0.025,6.532612840892515e-78
0,0,0,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,11,1,2,1,14,22,S_WPA_L36_DOC1.0_WOC1.0_N3600_F360_R3,S_WPA_L36_DOC1.0_WOC1.0_N3600_F360,3,0,0.25,2.4729350178458416e-247
0,0,0,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,11,1,2,2,17,25,S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R2,S_WPA_L36_DOC1.0_WOC2.0_N2700_F270,2,0,0.13333333333333333,3.3091679438380917e-249
0,0,0,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,11,1,2,3,29,41,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R2,S_WPA_L36_DOC2.0_WOC1.0_N1800_F180,2,0,0.016666666666666666,1.9383383563322973e-05
0,0,0,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,11,1,2,4,47,59,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R4,S_WPA_L36_DOC6.0_WOC1.0_N2700_F270,4,0,0.075,7.2090732285586675e-183
0,0,0,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,11,1,2,5,55,67,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R4,S_WPB_L56_DOC0.5_WOC1.0_N2700_F270,4,0,0.03333333333333333,2.6416300571777093e-63
0,0,0,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,11,1,2,6,56,72,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270_R1,S_WPB_L56_DOC0.5_WOC2.0_N2700_F270,1,0,0.1,3.3240883982630116e-207
0,0,0,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,11,1,2,7,66,82,S_WPB_L56_DOC1.0_WOC1.0_N2700_F270_R3,S_WPB_L56_DOC1.0_WOC1.0_N2700_F270,3,0,0.058333333333333334,1.2748732045994383e-209
0,0,0,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,11,1,2,8,68,96,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R1,S_WPB_L56_DOC1.5_WOC1.0_N2700_F270,1,0,0.016666666666666666,0.9999806166164367
0,0,0,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,11,1,2,9,81,109,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360_R2,U_WPA_L36_DOC2.0_WOC1.0_N3600_F360,2,1,0.075,1.0508966571654483e-80
0,0,0,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,11,1,2,10,88,124,U_WPB_L56_DOC2.0_WOC1.0_N1800_F180_R1,U_WPB_L56_DOC2.0_WOC1.0_N1800_F180,1,1,0.09166666666666666,6.281090300695121e-222
0,0,0,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,11,1,2,11,109,149,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270_R2,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270,2,1,0.125,3.7690297548678274e-230
0,0,0,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,11,1,2,12,111,151,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270_R4,U_WPB_L56_DOC4.0_WOC1.0_N2700_F270,4,1,0.025,1.1426403328644e-229
0,0,0,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,10,2,3,1,24,36,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R1,S_WPA_L36_DOC1.5_WOC2.0_N2700_F270,1,0,0.14166666666666666,0.1101782701610463
