split,repeat,fold,seed,feature_set,n_train,n_test,n_train_conditions,n_test_conditions,train_stable,train_chatter,test_stable,test_chatter,condition_overlap,distance_seconds,total_seconds
0,0,0,11,all40,120,40,30,10,80,40,28,12,0,0.3426443000207655,5.266686099988874
1,0,1,11,all40,120,40,30,10,80,40,28,12,0,0.3464273000136018,5.977098400006071
2,0,2,11,all40,120,40,30,10,84,36,24,16,0,0.35819030000129715,8.10896630003117
3,0,3,11,all40,120,40,30,10,80,40,28,12,0,0.37334769999142736,8.052664700022433
4,1,0,23,all40,120,40,30,10,80,40,28,12,0,0.3741774999652989,5.396001300017815
5,1,1,23,all40,120,40,30,10,80,40,28,12,0,0.38196500000776723,6.170544900000095
6,1,2,23,all40,120,40,30,10,80,40,28,12,0,0.386650100001134,8.418764900008682
7,1,3,23,all40,120,40,30,10,84,36,24,16,0,0.35856079997029155,4.826649199996609
8,2,0,37,all40,120,40,30,10,80,40,28,12,0,0.3433934000204317,5.7665082000312395
9,2,1,37,all40,120,40,30,10,80,40,28,12,0,0.35524900001473725,5.786896000034176
10,2,2,37,all40,120,40,30,10,84,36,24,16,0,0.3386365000042133,8.25096420000773
11,2,3,37,all40,120,40,30,10,80,40,28,12,0,0.3470970999915153,5.260170500027016
12,3,0,53,all40,120,40,30,10,80,40,28,12,0,0.3748153999913484,5.1354005000321195
13,3,1,53,all40,120,40,30,10,80,40,28,12,0,0.3417773999972269,5.7759279000456445
14,3,2,53,all40,120,40,30,10,80,40,28,12,0,0.3877049000002444,8.981564000016078
15,3,3,53,all40,120,40,30,10,84,36,24,16,0,0.35619390005012974,8.350272799958475
16,4,0,71,all40,120,40,30,10,80,40,28,12,0,0.9537130999960937,14.16238200000953
17,4,1,71,all40,120,40,30,10,80,40,28,12,0,0.8915271000005305,12.814293399977032
18,4,2,71,all40,120,40,30,10,84,36,24,16,0,0.9102253000019118,12.988524999993388
19,4,3,71,all40,120,40,30,10,80,40,28,12,0,0.8937254999764264,12.909001899999566
