split,repeat,fold,seed,feature_set,n_train,n_test,n_train_conditions,n_test_conditions,budget,n_selected,J_init,J_synthetic,J_projected_uniform,J_projected_optimized_weights,J_refined,mrds_refined_only_objective,best_of_starts_objective,best_of_starts_initializer
0,0,0,11,all40,120,40,30,10,0.1,12,0.054207995981763374,0.02151181568257907,0.032860554525209924,0.011141953736545349,0.006732581026908311,0.005344258476628408,0.0036862295070282393,FacilityLocation
1,0,1,11,all40,120,40,30,10,0.1,12,0.10782541785431556,0.05432018766188947,0.06082985067324829,0.012612909297616411,0.009322026386903347,0.005753403521398028,0.004918209333236591,FacilityLocation
2,0,2,11,all40,120,40,30,10,0.1,12,0.03961195497568177,0.016693201014511785,0.02390991938381159,0.009777807520484669,0.006047386161196015,0.004289272966039493,0.003299409129519652,W2-KMedoids
3,0,3,11,all40,120,40,30,10,0.1,12,0.03213254268672008,0.016697586731074025,0.018205409569164485,0.008374813858058636,0.004476560316616979,0.003881052134367208,0.0026615834446774545,W2-KMedoids
4,1,0,23,all40,120,40,30,10,0.1,12,0.044351210778952516,0.023538449794644267,0.029863017243851372,0.013072016049671585,0.006855385119217846,0.005946608767173633,0.003574960851868752,W2-KMedoids
5,1,1,23,all40,120,40,30,10,0.1,12,0.04130653411474677,0.02046398164188433,0.023414008726061974,0.01124671115239631,0.00633379096607092,0.005343271347477128,0.003255827144448552,W2-KMedoids
6,1,2,23,all40,120,40,30,10,0.1,12,0.06686322201041779,0.03641142022526038,0.056261189169405514,0.012246074770809858,0.007975465834037243,0.005993132877599434,0.004776461111093841,FacilityLocation
7,1,3,23,all40,120,40,30,10,0.1,12,0.038217157871523064,0.015147412682500349,0.018962594364623754,0.008262982411869391,0.006503851864055553,0.004260514757567522,0.0034266119297507625,FacilityLocation
8,2,0,37,all40,120,40,30,10,0.1,12,0.027481752598490953,0.0053466113551959024,0.010427588931776779,0.003926270440476715,0.0027318589531395805,0.002025032541324094,0.0016466691339475984,W2-KMedoids
9,2,1,37,all40,120,40,30,10,0.1,12,0.05610214249268478,0.02839213608792957,0.03448633720760824,0.014513808552508388,0.00846605387443525,0.006102214601073218,0.004223869296674714,W2-KMedoids
10,2,2,37,all40,120,40,30,10,0.1,12,0.09786853237772412,0.05401372499412537,0.07289443303607254,0.013866705460192811,0.007285532051988238,0.0061446817504170895,0.004545264272128146,W2-KMedoids
11,2,3,37,all40,120,40,30,10,0.1,12,0.04622974879319152,0.02601132176696212,0.03318941149458684,0.011592574172532217,0.008402406076355236,0.005405647183888528,0.004623370967002169,W2-KMedoids
12,3,0,53,all40,120,40,30,10,0.1,12,0.03794516683404539,0.015942754534261906,0.0226572916390713,0.009793693982197314,0.006308853677100563,0.00472606867030184,0.003393088401022379,W2-KMedoids
13,3,1,53,all40,120,40,30,10,0.1,12,0.03648729025439049,0.01776660836744113,0.023267099516631164,0.010893877860065721,0.0064765100139510135,0.004912433095478885,0.0031068264458307426,W2-KMedoids
14,3,2,53,all40,120,40,30,10,0.1,12,0.04122815445452762,0.022358025667882156,0.02903297104296263,0.011944395229641903,0.0066342038472909865,0.005262746158298822,0.004352819799050171,W2-KMedoids
15,3,3,53,all40,120,40,30,10,0.1,12,0.04528473026992629,0.019513269394730987,0.03198400473053831,0.012212625960160012,0.00615807077838291,0.005518645813265552,0.0035884695028988818,FacilityLocation
16,4,0,71,all40,120,40,30,10,0.1,12,0.03683924750731727,0.023273413059382752,0.029844893898836513,0.01011236564585122,0.007062885322746296,0.004727753044269597,0.004428564610020741,FacilityLocation
17,4,1,71,all40,120,40,30,10,0.1,12,0.046609276119290645,0.0174269642216308,0.02170958490561731,0.008629499826084049,0.006530321534455063,0.004392879379588319,0.003503071231503709,W2-KMedoids
18,4,2,71,all40,120,40,30,10,0.1,12,0.04155794108215351,0.017395320633457216,0.03139966713360287,0.00942353152321418,0.006525619902402177,0.004355206452926192,0.0034910449793474374,W2-KMedoids
19,4,3,71,all40,120,40,30,10,0.1,12,0.03407461023200951,0.02068307111833092,0.021782295372093044,0.010363274680770695,0.007520685794382875,0.005054067159235982,0.004116914334689403,FacilityLocation
