"split","repeat","fold","seed","random_seed","budget","m","method","stage","n_selected","n_unique_conditions","n_stable","n_chatter","balanced_accuracy","sensitivity","specificity","R_min","recording_ids","source"
"0","0","0","11","101","0.1","12","Random","uniform final observed subset","12","10","9","3","0.5","0.0","1.0","0.0","S_WPA_L36_DOC1.0_WOC1.0_N3600_F360_R4|S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R2|S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R3|S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R1|S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R4|S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R2|S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R1|S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R1|S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R2|U_WPB_L56_DOC2.0_WOC1.0_N1800_F180_R2|U_WPB_L56_DOC2.0_WOC2.0_N2700_F270_R4|U_WPB_L56_DOC4.0_WOC1.0_N2700_F270_R3","final Random-only run from validated final fold geometry"
"1","0","1","11","101","0.1","12","Random","uniform final observed subset","12","10","9","3","0.8154761904761905","0.6666666666666666","0.9642857142857143","0.6666666666666666","S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R4|S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R2|S_WPA_L36_DOC2.0_WOC1.0_N1800_F180_R3|S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R1|S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R4|S_WPB_L56_DOC0.5_WOC1.0_N3600_F360_R2|S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R1|S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R1|S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R2|U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R2|U_WPB_L56_DOC2.0_WOC1.0_N2700_F270_R4|U_WPB_L56_DOC3.0_WOC1.0_N3600_F360_R3","final Random-only run from validated final fold geometry"
"2","0","2","11","101","0.1","12","Random","uniform final observed subset","12","10","9","3","0.5","0.0","1.0","0.0","S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R4|S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R2|S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R3|S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R1|S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R4|S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R2|S_WPB_L56_DOC1.0_WOC2.0_N2700_F270_R1|S_WPB_L56_DOC1.5_WOC1.0_N1800_F180_R1|S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R2|U_WPA_L36_DOC4.0_WOC2.0_N2700_F270_R2|U_WPB_L56_DOC2.0_WOC2.0_N2700_F270_R4|U_WPB_L56_DOC3.0_WOC1.0_N3600_F360_R3","final Random-only run from validated final fold geometry"
"3","0","3","11","101","0.1","12","Random","uniform final observed subset","12","10","9","3","0.7321428571428572","0.5","0.9642857142857143","0.5","S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R4|S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R2|S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R3|S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R1|S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R4|S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R2|S_WPB_L56_DOC1.0_WOC2.0_N2700_F270_R1|S_WPB_L56_DOC1.5_WOC1.0_N1800_F180_R1|S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R2|U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R2|U_WPB_L56_DOC2.0_WOC2.0_N2700_F270_R4|U_WPB_L56_DOC3.0_WOC1.0_N3600_F360_R3","final Random-only run from validated final fold geometry"
"4","1","0","23","211","0.1","12","Random","uniform final observed subset","12","12","10","2","0.5","0.0","1.0","0.0","S_WPA_L36_DOC0.5_WOC2.0_N2700_F270_R1|S_WPA_L36_DOC1.0_WOC1.0_N3600_F360_R2|S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R4|S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R3|S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R3|S_WPB_L56_DOC0.5_WOC1.0_N3600_F360_R4|S_WPB_L56_DOC1.0_WOC1.0_N1800_F180_R2|S_WPB_L56_DOC1.0_WOC2.0_N2700_F270_R3|S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R3|S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R3|U_WPA_L36_DOC4.0_WOC2.0_N2700_F270_R3|U_WPB_L56_DOC6.0_WOC1.0_N2700_F270_R4","final Random-only run from validated final fold geometry"
"5","1","1","23","211","0.1","12","Random","uniform final observed subset","12","12","10","2","0.5","0.0","1.0","0.0","S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R1|S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R2|S_WPA_L36_DOC1.5_WOC1.0_N3600_F360_R4|S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R3|S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R3|S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R4|S_WPB_L56_DOC0.5_WOC1.0_N2700_F270_R2|S_WPB_L56_DOC1.0_WOC1.0_N2700_F270_R3|S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R3|S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R3|U_WPA_L36_DOC2.0_WOC2.0_N2700_F270_R3|U_WPB_L56_DOC6.0_WOC1.0_N2700_F270_R4","final Random-only run from validated final fold geometry"
"6","1","2","23","211","0.1","12","Random","uniform final observed subset","12","12","10","2","0.5416666666666666","0.08333333333333333","1.0","0.08333333333333333","S_WPA_L36_DOC0.5_WOC2.0_N2700_F270_R1|S_WPA_L36_DOC1.0_WOC1.0_N3600_F360_R2|S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R4|S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R3|S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R3|S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R4|S_WPB_L56_DOC0.5_WOC1.0_N3600_F360_R2|S_WPB_L56_DOC1.0_WOC1.0_N2700_F270_R3|S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R3|S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R3|U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R3|U_WPB_L56_DOC6.0_WOC1.0_N2700_F270_R4","final Random-only run from validated final fold geometry"
"7","1","3","23","211","0.1","12","Random","uniform final observed subset","12","12","10","2","0.53125","0.0625","1.0","0.0625","S_WPA_L36_DOC1.0_WOC1.0_N1800_F180_R1|S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R2|S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R4|S_WPA_L36_DOC2.0_WOC1.0_N2700_F270_R3|S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R3|S_WPA_L36_DOC4.0_WOC1.0_N2700_F270_R4|S_WPA_L36_DOC6.0_WOC1.0_N2700_F270_R2|S_WPB_L56_DOC0.5_WOC2.0_N2700_F270_R3|S_WPB_L56_DOC1.5_WOC1.0_N1800_F180_R3|S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R3|U_WPA_L36_DOC2.0_WOC1.0_N3600_F360_R3|U_WPB_L56_DOC4.0_WOC1.0_N2700_F270_R4","final Random-only run from validated final fold geometry"
"8","2","0","37","307","0.1","12","Random","uniform final observed subset","12","10","9","3","0.5","0.25","0.75","0.25","S_WPA_L36_DOC0.5_WOC1.0_N3600_F360_R4|S_WPA_L36_DOC1.0_WOC2.0_N2700_F270_R3|S_WPA_L36_DOC1.5_WOC2.0_N2700_F270_R4|S_WPA_L36_DOC3.0_WOC1.0_N1800_F180_R1|S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R2|S_WPB_L56_DOC1.0_WOC1.0_N3600_F360_R2|S_WPB_L56_DOC1.5_WOC1.0_N1800_F180_R3|S_WPB_L56_DOC1.5_WOC1.0_N1800_F180_R4|S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R3|U_WPB_L56_DOC2.0_WOC1.0_N1800_F180_R3|U_WPB_L56_DOC3.0_WOC1.0_N3600_F360_R1|U_WPB_L56_DOC3.0_WOC1.0_N3600_F360_R2","final Random-only run from validated final fold geometry"
"9","2","1","37","307","0.1","12","Random","uniform final observed subset","12","10","9","3","0.5416666666666666","0.08333333333333333","1.0","0.08333333333333333","S_WPA_L36_DOC0.5_WOC2.0_N2700_F270_R4|S_WPA_L36_DOC1.0_WOC1.0_N2700_F270_R3|S_WPA_L36_DOC1.5_WOC1.0_N1800_F180_R4|S_WPB_L56_DOC0.5_WOC1.0_N1800_F180_R1|S_WPB_L56_DOC0.5_WOC2.0_N2700_F270_R2|S_WPB_L56_DOC1.5_WOC1.0_N2700_F270_R2|S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R3|S_WPB_L56_DOC1.5_WOC1.0_N3600_F360_R4|S_WPB_L56_DOC1.5_WOC2.0_N2700_F270_R3|U_WPA_L36_DOC3.0_WOC1.0_N3600_F360_R3|U_WPB_L56_DOC2.0_WOC1.0_N3600_F360_R1|U_WPB_L56_DOC2.0_WOC1.0_N3600_F360_R2","final Random-only run from validated final fold geometry"
