retention_percent,method,mean_J_alpha_S,mean_balanced_accuracy,sd_balanced_accuracy,n_folds
10,MRDS,0.01188365947612005,0.822172619047619,0.17243496309649756,20
10,Wasserstein k-medoids,0.012824416628221508,0.749702380952381,0.16923675174672617,20
10,Facility Location,0.014023503758490343,0.7329613095238094,0.1572441038551345,20
20,MRDS,0.0037225601645210194,0.8993303571428571,0.10715403359104932,20
20,Wasserstein k-medoids,0.006991740930093445,0.9491815476190476,0.05094937932902625,20
20,Facility Location,0.009552046490577944,0.9369047619047619,0.06715876104771185,20
30,MRDS,0.0020729140661978,0.9079613095238095,0.0898066919965492,20
30,Wasserstein k-medoids,0.004869848061240035,0.9410714285714284,0.05171707057124541,20
30,Facility Location,0.00425858198513671,0.9375,0.06160029413580631,20
40,MRDS,0.0013051040921381453,0.9263392857142858,0.05991510639264733,20
40,Wasserstein k-medoids,0.0044222134933782145,0.9433779761904763,0.05316627241308892,20
40,Facility Location,0.004790965955470185,0.9368303571428571,0.058593280694902196,20
50,MRDS,0.000753963840084585,0.9348214285714285,0.05490287103278768,20
50,Wasserstein k-medoids,0.0033391624595619103,0.9392857142857143,0.051210234719173464,20
50,Facility Location,0.003906036780180046,0.9372023809523808,0.052995283231196566,20
