budget,m,method,folds,mean_J_alpha,std_J_alpha,MRDS_minus_W2_mean_gap,MRDS_minus_Facility_mean_gap
0.1,12,Facility Location,20,0.014023503758490392,0.003570721117058545,-0.000940757152101443,-0.0021398442823702957
0.1,12,MRDS,20,0.011883659476120096,0.004904764435185223,-0.000940757152101443,-0.0021398442823702957
0.1,12,W2-k-medoids,20,0.012824416628221539,0.0038522986169385797,-0.000940757152101443,-0.0021398442823702957
0.2,24,Facility Location,20,0.009552046490578,0.002979458666003595,-0.003269180765572416,-0.00582948632605693
0.2,24,MRDS,20,0.00372256016452107,0.0009833305520024853,-0.003269180765572416,-0.00582948632605693
0.2,24,W2-k-medoids,20,0.006991740930093486,0.0015975573032116503,-0.003269180765572416,-0.00582948632605693
0.3,36,Facility Location,20,0.0042585819851367656,0.0010178123189773642,-0.002796933995042233,-0.0021856679189389125
0.3,36,MRDS,20,0.002072914066197853,0.0004929495904773454,-0.002796933995042233,-0.0021856679189389125
0.3,36,W2-k-medoids,20,0.004869848061240086,0.0012916838698534157,-0.002796933995042233,-0.0021856679189389125
0.4,48,Facility Location,20,0.0047909659554702345,0.0016212812093560705,-0.0031171094012400645,-0.003485861863332028
0.4,48,MRDS,20,0.0013051040921382064,0.0003339269763312206,-0.0031171094012400645,-0.003485861863332028
0.4,48,W2-k-medoids,20,0.004422213493378271,0.001483619834851096,-0.0031171094012400645,-0.003485861863332028
0.5,60,Facility Location,20,0.003906036780180088,0.0012472093227876065,-0.0025851986194773283,-0.00315207294009546
0.5,60,MRDS,20,0.0007539638400846288,0.00020435358653002081,-0.0025851986194773283,-0.00315207294009546
0.5,60,W2-k-medoids,20,0.0033391624595619568,0.0013805427397495795,-0.0025851986194773283,-0.00315207294009546
