split,budget,m,J_synthetic_final,J_projected_uniform,absolute_projection_change,relative_projection_change,synthetic_sweeps,synthetic_stop_reason,SYNTHETIC_CAP_BINDING
0,0.1,12,0.002812515380807488,0.007523799151945744,0.004711283771138256,1.6751139578783818,,reused validated objective-stopped 10% result,False
1,0.1,12,0.002416841367981416,0.017972649178609006,0.01555580781062759,6.436420700469905,,reused validated objective-stopped 10% result,False
2,0.1,12,0.002731807139628855,0.007357629018971965,0.004625821879343109,1.69331934609834,,reused validated objective-stopped 10% result,False
3,0.1,12,7.65014885030913e-06,0.013612575087465386,0.013604924938615077,1778.3869575381302,,reused validated objective-stopped 10% result,False
4,0.1,12,0.0016504175603728336,0.010051395191057853,0.008400977630685019,5.090213429859057,,reused validated objective-stopped 10% result,False
5,0.1,12,0.001578849040802311,0.009118046105685406,0.007539197064883095,4.7751221744746175,,reused validated objective-stopped 10% result,False
6,0.1,12,0.002235553154586524,0.01744727541264211,0.015211722258055586,6.804455634099679,,reused validated objective-stopped 10% result,False
7,0.1,12,0.00274678018257728,0.008146010815680282,0.005399230633103002,1.965658070256263,,reused validated objective-stopped 10% result,False
8,0.1,12,0.0022735359651976936,0.0032774099465296305,0.001003873981331937,0.44154743830702753,,reused validated objective-stopped 10% result,False
9,0.1,12,0.00372159882163438,0.014220878626870603,0.010499279805236223,2.821174529667696,,reused validated objective-stopped 10% result,False
10,0.1,12,0.0023902183092034224,0.018940960516295888,0.016550742207092465,6.924364248807155,,reused validated objective-stopped 10% result,False
11,0.1,12,0.0018663397175668255,0.016131760274202912,0.014265420556636087,7.643528357867305,,reused validated objective-stopped 10% result,False
12,0.1,12,0.002808252252843197,0.009133657484407361,0.006325405231564165,2.252434846321248,,reused validated objective-stopped 10% result,False
13,0.1,12,0.0015807055822953148,0.010170939970037292,0.008590234387741978,5.43443034804005,,reused validated objective-stopped 10% result,False
14,0.1,12,0.0021256790788738334,0.019779415876685285,0.017653736797811452,8.304986850208946,,reused validated objective-stopped 10% result,False
15,0.1,12,0.0016995061970366064,0.009031254350408751,0.007331748153372145,4.314046142436174,,reused validated objective-stopped 10% result,False
16,0.1,12,0.002177106657881804,0.019027061106839525,0.016849954448957722,7.7396090760898835,,reused validated objective-stopped 10% result,False
17,0.1,12,0.001562047632940242,0.007615144889413306,0.006053097256473064,3.875104144602376,,reused validated objective-stopped 10% result,False
18,0.1,12,0.0014126827517856198,0.00699215797279663,0.00557947522101101,3.9495599517716187,,reused validated objective-stopped 10% result,False
19,0.1,12,0.0036845245388483485,0.01212316854585697,0.008438644007008621,2.2902938813500864,,reused validated objective-stopped 10% result,False
2,0.2,24,0.0008528080942857029,0.002867548385765437,0.002014740291479734,2.3624779185137137,12.0,three_consecutive_relative_objective_improvements_below_1e-3,False
2,0.3,36,0.0003819740162869397,0.0018088324710715592,0.0014268584547846195,3.735485645475844,12.0,three_consecutive_relative_objective_improvements_below_1e-3,False
2,0.4,48,0.00019417596618509812,0.0013302394519384086,0.0011360634857533105,5.850690526088892,10.0,three_consecutive_relative_objective_improvements_below_1e-3,False
2,0.5,60,0.0001002042830586254,0.0007156404316805086,0.0006154361486218833,6.14181479909214,9.0,three_consecutive_relative_objective_improvements_below_1e-3,False
3,0.2,24,1.4267370108195315e-06,0.003984804769542549,0.00398337803253173,2791.9497442935467,11.0,three_consecutive_relative_objective_improvements_below_1e-3,False
3,0.3,36,7.131800009832912e-07,0.0018874309330938021,0.0018867177530928188,2645.500084819431,10.0,three_consecutive_relative_objective_improvements_below_1e-3,False
3,0.4,48,1.7286527394138466e-06,0.0010394052529910205,0.0010376766002516066,600.2805402104434,8.0,three_consecutive_relative_objective_improvements_below_1e-3,False
3,0.5,60,2.4887204597803214e-07,0.0005527211758578667,0.0005524723038118887,2219.9050184232233,8.0,three_consecutive_relative_objective_improvements_below_1e-3,False
0,0.2,24,0.0008554760770528882,0.00406629048883426,0.0032108144117813714,3.7532486271768284,16.0,three_consecutive_relative_objective_improvements_below_1e-3,False
0,0.3,36,0.00039216462045185414,0.0023292088567697503,0.0019370442363178962,4.939365091338488,15.0,three_consecutive_relative_objective_improvements_below_1e-3,False
0,0.4,48,0.00019637640292331768,0.001483345484636744,0.0012869690817134264,6.553583131960973,17.0,three_consecutive_relative_objective_improvements_below_1e-3,False
0,0.5,60,0.0001944332789640425,0.0009756915246991519,0.0007812582457351093,4.018130280462899,12.0,three_consecutive_relative_objective_improvements_below_1e-3,False
1,0.2,24,0.0005618532818851778,0.004857646351803497,0.004295793069918319,7.645755944514037,13.0,three_consecutive_relative_objective_improvements_below_1e-3,False
1,0.3,36,0.00023647532837653534,0.0028261443286419895,0.002589669000265454,10.951117049056261,13.0,three_consecutive_relative_objective_improvements_below_1e-3,False
1,0.4,48,0.00011675012017779845,0.001338862174781783,0.0012221120546039846,10.467758429223313,14.0,three_consecutive_relative_objective_improvements_below_1e-3,False
1,0.5,60,5.88073132594327e-05,0.0008065156392981161,0.0007477083260386834,12.71454662007962,13.0,three_consecutive_relative_objective_improvements_below_1e-3,False
4,0.2,24,0.0004942540283357218,0.0036123919277788108,0.003118137899443089,6.308775893931806,9.0,three_consecutive_relative_objective_improvements_below_1e-3,False
4,0.3,36,0.0002134700537274728,0.0017750765838161747,0.0015616065300887018,7.3153423762301175,10.0,three_consecutive_relative_objective_improvements_below_1e-3,False
4,0.4,48,0.00010685874793966914,0.0013059759195342734,0.0011991171715946042,11.221516204472168,10.0,three_consecutive_relative_objective_improvements_below_1e-3,False
4,0.5,60,5.538942058254915e-05,0.0007579246020738647,0.0007025351814913156,12.68356256668723,9.0,three_consecutive_relative_objective_improvements_below_1e-3,False
5,0.2,24,0.00045863018752317436,0.0029735572913989223,0.002514927103875748,5.483562077449753,12.0,three_consecutive_relative_objective_improvements_below_1e-3,False
5,0.3,36,0.00020852414382611475,0.0015865592138180503,0.0013780350699919355,6.6085156601389,12.0,three_consecutive_relative_objective_improvements_below_1e-3,False
5,0.4,48,0.00010567764501162844,0.0012065562320456795,0.001100878587034051,10.417327022313126,11.0,three_consecutive_relative_objective_improvements_below_1e-3,False
5,0.5,60,5.402127960947486e-05,0.0006494060637283846,0.0005953847841189098,11.021301021060681,12.0,three_consecutive_relative_objective_improvements_below_1e-3,False
7,0.2,24,0.0008378654204140431,0.0027951301091618344,0.0019572646887477912,2.336013208160066,15.0,three_consecutive_relative_objective_improvements_below_1e-3,False
7,0.3,36,0.0003833563109987353,0.0019567622397997507,0.0015734059288010154,4.104291187229747,13.0,three_consecutive_relative_objective_improvements_below_1e-3,False
7,0.4,48,0.0001939239099510294,0.001331078732397171,0.0011371548224461416,5.8639227248115064,13.0,three_consecutive_relative_objective_improvements_below_1e-3,False
7,0.5,60,9.847932338616742e-05,0.0007792444096806933,0.000680765086294526,6.912771766567066,13.0,three_consecutive_relative_objective_improvements_below_1e-3,False
