retention_percent,m,method,mean_J_alpha_S,mean_balanced_accuracy
10,12,MRDS,0.01188365947612005,0.822172619047619
10,12,Wasserstein k-medoids,0.012824416628221508,0.749702380952381
10,12,Facility Location,0.014023503758490343,0.7329613095238094
20,24,MRDS,0.0037225601645210194,0.8993303571428571
20,24,Wasserstein k-medoids,0.006991740930093445,0.9491815476190476
20,24,Facility Location,0.009552046490577944,0.9369047619047619
30,36,MRDS,0.0020729140661978,0.9079613095238095
30,36,Wasserstein k-medoids,0.004869848061240035,0.9410714285714284
30,36,Facility Location,0.00425858198513671,0.9375
40,48,MRDS,0.0013051040921381453,0.9263392857142858
40,48,Wasserstein k-medoids,0.0044222134933782145,0.9433779761904763
40,48,Facility Location,0.004790965955470185,0.9368303571428571
50,60,MRDS,0.000753963840084585,0.9348214285714285
50,60,Wasserstein k-medoids,0.0033391624595619103,0.9392857142857143
50,60,Facility Location,0.003906036780180046,0.9372023809523808
