retention_percent,comparison,mean_BA_difference,W_T_L,raw_Wilcoxon_p,Holm_adjusted_p,n_matched_folds,Wilcoxon_statistic
10,MRDS vs Wasserstein k-medoids,0.07247023809523812,12/5/3,0.017014134099651277,0.10208480459790767,20,18.0
10,MRDS vs Facility Location,0.08921130952380958,12/2/6,0.08930633469022788,0.44653167345113937,20,46.5
20,MRDS vs Wasserstein k-medoids,-0.04985119047619048,0/9/11,0.0033300139117459797,0.0333001391174598,20,0.0
20,MRDS vs Facility Location,-0.037574404761904746,1/8/11,0.009605145077592471,0.07684116062073977,20,6.0
30,MRDS vs Wasserstein k-medoids,-0.033110119047619055,1/9/10,0.004419526279045574,0.03977573651141016,20,1.0
30,MRDS vs Facility Location,-0.0295386904761905,1/8/11,0.009632975772588674,0.07684116062073977,20,6.0
40,MRDS vs Wasserstein k-medoids,-0.01703869047619049,3/6/11,0.09611509249765772,0.44653167345113937,20,26.0
40,MRDS vs Facility Location,-0.010491071428571414,4/6/10,0.17690062150398822,0.5307018645119647,20,31.0
50,MRDS vs Wasserstein k-medoids,-0.004464285714285704,5/8/7,0.9374007990093649,1.0,20,38.0
50,MRDS vs Facility Location,-0.0023809523809523612,6/7/7,0.8065926357726065,1.0,20,42.0
